Milano_A; MIL_A
Milano_D; MIL_D
Firenze_A; FIR_A
Firenze_D; FIR_D
Venezia_A; VEN_A
Venezia_D; VEN_D
Pisa_A; PIS_A
Pisa_D; PIS_D
Andria_A; AND_A
Andria_D; AND_D
Etna_A; ETN_A
Etna_D; ETN_D
Volterra_A; VLE_A
Volterra_D; VLE_D
Matera_A; MAT_A
Matera_D; MAT_D
Vicenza_A; VIC_A
Vicenza_D; VIC_D
Siena_A; SIE_A
Siena_D; SIE_D
Treviglio_A; TRV_A
Treviglio_D; TRV_D
Ferrara_A; FER_A
Ferrara_D; FER_A
Mottola_A; MOT_A
Mottola_D; MOT_D
Ravenna_A; RVN_A
Ravenna_D; RVN_D
AbbadiaSanSalvatore_A; ASL_A
AbbadiaSanSalvatore_D; ASL_D
Verona_A; VER_A
Verona_D; VER_D
Torino_A; TOR_A
Torino_D; TOR_D
Aquileia_A; AQL_A
Aquileia_D; AQL_D
Chiavari_A; CHV_A
Chiavari_D; CHV_D
Modena_A; MOD_A
Modena_D; MOD_D
Urbino_A; URB_A
Urbino_D; URB_D
Colletorto_A; COL_A
Colletorto_D; COL_D
Cuneo_A; CUN_A
Cuneo_D; CUN_D
Sardegna  ; SRD_A
Sardegna  ; SRD_D
Belluno_A; BEL_A
Belluno_D; BEL_D
Assisi_A; ASS_A
Assisi_D; ASS_D
PiazzaArmerina  ; PAA_A
PiazzaArmerina  ; PAA_D
Crotone_A; CRO_A
Crotone_D; CRO_D
Tolmezzo_A; TOL_A
Tolmezzo_D; TOL_D
Noto_A; NTO_A
Noto_D; NTO_D
Bernina_A; BER_A
Bernina_D; BER_D
Celano_A; CLN_A
Celano_D; CLN_D
Genova_A; GEN_A
Genova_D; GEN_D
Bologna_A; BOL_A
Bologna_D; BOL_D
Pistoia_A; PST_A
Pistoia_D; PST_D
NoceraTerinese_A; NTR_A
NoceraTerinesa_D; NTR_D
Brennero_A; BRN_A
Brennero_D; BRN_D
Cortina_A; CRT_A
Cortina_D; CRT_D
Palermo_A; PAL_A
Palermo_D; PAL_D
Norcia_A; NRI_D
Norcia_D; NRI_D
Vulcano_A; VLA_A
Vulcano_D; VLA_D
Mattinata_A; MTI_A
Mattinata_D; MTI_D
ColliAlbani_A; COA_A
ColliAlbani_D; COA_D
